date,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA,PLTR,AVGO,GEV,VRT
2013-01-01,49497.55,30736.601,14804.927,2075.57,726.473,667.886,-15.218,104.689,568.944,1158.925,11.282
2013-01-02,49197.816,30750.522,14814.239,2083.009,726.567,668.604,-14.747,104.689,569.816,1158.925,11.282
2013-01-03,49235.214,30764.446,14823.552,2090.447,728.221,669.323,-14.275,104.689,570.687,1158.925,11.282
2013-01-04,49245.138,30771.676,14814.79,2090.533,728.24,669.988,-14.27,104.689,570.841,1158.925,11.282
2013-01-05,49245.138,30771.676,14814.79,2090.533,728.24,669.988,-14.27,104.689,570.841,1158.925,11.282
2013-01-06,49245.138,30771.676,14814.79,2090.533,728.24,669.988,-14.27,104.689,570.841,1158.925,11.282
2013-01-07,49310.009,30792.295,14833.375,2143.385,731.53,670.759,-13.333,104.689,572.43,1158.925,11.282
2013-01-08,49347.407,30806.219,14842.722,2151.171,733.184,671.477,-12.862,104.689,573.301,1158.925,11.282
2013-01-09,49384.805,30820.144,14852.068,2158.153,734.838,672.196,-12.391,104.689,573.071,1158.925,11.282
2013-01-10,49422.203,30806.831,14861.415,2165.825,736.492,672.914,-11.919,104.689,573.916,1158.925,11.282
2013-01-11,49286.434,30814.45,14861.703,2166.061,736.543,673.593,-11.905,104.689,574.082,1158.925,11.282
2013-01-12,49286.434,30814.45,14861.703,2166.061,736.543,673.593,-11.905,104.689,574.082,1158.925,11.282
2013-01-13,49286.434,30814.45,14861.703,2166.061,736.543,673.593,-11.905,104.689,574.082,1158.925,11.282
2013-01-14,49331.605,30835.13,14880.108,2181.169,739.8,674.35,83.728,104.689,572.179,1158.925,11.282
2013-01-15,49424.024,30849.279,14813.739,2188.84,735.668,675.068,83.822,104.689,572.99,1158.925,11.282
2013-01-16,48803.055,30863.429,14822.066,2196.512,737.319,675.787,83.916,104.689,573.801,1158.925,11.282
2013-01-17,48846.524,30877.578,14831.722,2204.184,738.97,676.505,84.01,104.689,574.611,1158.925,11.282
2013-01-18,48929.23,30844.12,14839.594,2204.568,739.053,677.198,84.014,104.689,574.786,1158.925,11.282
2013-01-19,48929.23,30844.12,14839.594,2204.568,739.053,677.198,84.014,104.689,574.786,1158.925,11.282
2013-01-20,48929.23,30844.12,14839.594,2204.568,739.053,677.198,84.014,104.689,574.786,1158.925,11.282
2013-01-21,48615.369,30864.914,14858.151,2219.528,742.272,677.941,84.198,104.689,576.233,1158.925,11.282
2013-01-22,48734.583,30879.332,15297.194,2227.199,743.923,678.659,84.291,104.689,577.044,1158.925,11.282
2013-01-23,49158.094,30893.75,15106.894,2234.871,745.574,679.378,84.385,104.689,577.855,1158.925,11.282
2013-01-24,47639.551,30718.622,15117.87,2242.543,747.225,680.096,84.479,104.689,578.666,1158.925,11.282
2013-01-25,47644.123,29510.606,15118.63,2243.074,746.9,680.803,84.486,104.689,578.856,1158.925,11.282
2013-01-26,47644.123,29510.606,15118.63,2243.074,746.9,680.803,84.486,104.689,578.856,1158.925,11.282
2013-01-27,47644.123,29510.606,15118.63,2243.074,746.9,680.803,84.486,104.689,578.856,1158.925,11.282
