date,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA,PLTR,AVGO,GEV,VRT
2013-01-01,1.832,3.052,1.162,0.176,0.654,0.03,0.005,0.108,0.285,4.205,0.951
2013-01-02,1.83,3.054,1.163,0.176,0.655,0.03,0.006,0.108,0.285,4.205,0.951
2013-01-03,1.831,3.054,1.163,0.177,0.656,0.03,0.006,0.108,0.285,4.205,0.951
2013-01-04,1.831,3.052,1.163,0.177,0.656,0.03,0.006,0.108,0.285,4.205,0.951
2013-01-05,1.831,3.052,1.163,0.177,0.656,0.03,0.006,0.108,0.285,4.205,0.951
2013-01-06,1.831,3.052,1.163,0.177,0.656,0.03,0.006,0.108,0.285,4.205,0.951
2013-01-07,1.832,3.053,1.165,0.176,0.659,0.029,0.007,0.108,0.285,4.205,0.951
2013-01-08,1.833,3.054,1.166,0.176,0.659,0.029,0.007,0.108,0.285,4.205,0.951
2013-01-09,1.834,3.055,1.167,0.182,0.66,0.029,0.01,0.108,0.285,4.205,0.951
2013-01-10,1.834,3.048,1.167,0.182,0.661,0.029,0.01,0.108,0.286,4.205,0.951
2013-01-11,1.833,3.05,1.167,0.186,0.661,0.029,0.01,0.108,0.286,4.205,0.951
2013-01-12,1.833,3.05,1.167,0.186,0.661,0.029,0.01,0.108,0.286,4.205,0.951
2013-01-13,1.833,3.05,1.167,0.186,0.661,0.029,0.01,0.108,0.286,4.205,0.951
2013-01-14,1.834,3.046,1.167,0.187,0.667,0.029,0.014,0.108,0.285,4.205,0.951
2013-01-15,1.834,3.042,1.164,0.188,0.667,0.029,0.015,0.108,0.285,4.205,0.951
2013-01-16,1.827,3.041,1.164,0.188,0.669,0.029,0.015,0.108,0.285,4.205,0.951
2013-01-17,1.826,3.042,1.16,0.189,0.67,0.029,0.016,0.108,0.285,4.205,0.951
2013-01-18,1.826,3.043,1.16,0.189,0.67,0.029,0.015,0.108,0.285,4.205,0.951
2013-01-19,1.826,3.043,1.16,0.189,0.67,0.029,0.015,0.108,0.285,4.205,0.951
2013-01-20,1.826,3.043,1.16,0.189,0.67,0.029,0.015,0.108,0.285,4.205,0.951
2013-01-21,1.823,3.045,1.16,0.19,0.671,0.029,0.015,0.108,0.286,4.205,0.951
2013-01-22,1.822,3.042,1.15,0.191,0.669,0.029,0.016,0.108,0.286,4.205,0.951
2013-01-23,1.8,3.039,1.145,0.191,0.67,0.029,0.016,0.108,0.286,4.205,0.951
