date,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA,PLTR,AVGO,GEV,VRT
2013-01-01,32.846,31.266,17.405,10.728,9.752,14.177,-267.63,-3.425,22.747,11.459,47.509
2013-01-02,32.8,31.261,17.406,10.753,10.187,14.176,-266.02,-3.425,22.741,11.459,47.509
2013-01-03,32.793,31.256,17.406,10.777,10.195,14.175,-264.411,-3.425,22.736,11.459,47.509
2013-01-04,32.791,31.09,17.406,10.778,10.195,14.174,-264.392,-3.425,22.735,11.459,47.509
2013-01-05,32.791,31.09,17.406,10.778,10.195,14.174,-264.392,-3.425,22.735,11.459,47.509
2013-01-06,32.791,31.09,17.406,10.778,10.195,14.174,-264.392,-3.425,22.735,11.459,47.509
2013-01-07,33.259,31.082,17.407,11.818,10.211,14.173,-261.191,-3.425,22.726,11.459,47.509
2013-01-08,33.253,31.076,17.407,11.848,10.219,14.172,-259.581,-3.425,22.72,11.459,47.509
2013-01-09,33.246,31.071,17.407,11.878,10.227,14.171,-257.972,-3.425,22.715,11.459,47.509
2013-01-10,33.239,30.559,17.407,11.915,10.235,14.169,-256.362,-3.425,22.71,11.459,47.509
2013-01-11,33.175,30.555,17.407,11.916,10.235,14.168,-256.312,-3.425,22.709,11.459,47.509
2013-01-12,33.175,30.555,17.407,11.916,10.235,14.168,-256.312,-3.425,22.709,11.459,47.509
2013-01-13,33.175,30.555,17.407,11.916,10.235,14.168,-256.312,-3.425,22.709,11.459,47.509
2013-01-14,33.164,30.545,17.408,11.975,10.233,14.167,-253.142,-3.425,22.699,11.459,47.509
2013-01-15,33.147,30.538,17.544,12.004,10.445,14.166,-251.533,-3.425,22.694,11.459,47.509
2013-01-16,33.05,30.531,17.544,12.034,10.449,14.165,-249.923,-3.425,22.689,11.459,47.509
2013-01-17,33.127,30.524,17.544,12.064,10.454,14.164,-248.313,-3.425,22.684,11.459,47.509
2013-01-18,33.126,30.478,17.544,12.065,10.454,14.163,-248.233,-3.425,22.683,11.459,47.509
2013-01-19,33.126,30.478,17.544,12.065,10.454,14.163,-248.233,-3.425,22.683,11.459,47.509
2013-01-20,33.126,30.478,17.544,12.065,10.454,14.163,-248.233,-3.425,22.683,11.459,47.509
2013-01-21,32.946,30.468,17.545,12.123,10.462,14.162,-245.093,-3.425,22.673,11.459,47.509
2013-01-22,32.94,30.462,17.328,12.153,10.466,14.161,-243.484,-3.425,22.668,11.459,47.509
2013-01-23,32.303,30.455,17.774,12.182,10.47,14.16,-241.874,-3.425,22.663,11.459,47.509
2013-01-24,30.028,30.448,17.773,12.212,10.474,14.158,-240.264,-3.425,22.658,11.459,47.509
2013-01-25,30.026,30.305,17.773,12.214,10.474,14.157,-240.153,-3.425,22.656,11.459,47.509
2013-01-26,30.026,30.305,17.773,12.214,10.474,14.157,-240.153,-3.425,22.656,11.459,47.509
2013-01-27,30.026,30.305,17.773,12.214,10.474,14.157,-240.153,-3.425,22.656,11.459,47.509
2013-01-28,30.016,30.307,17.771,14.337,10.482,13.436,-249.247,-3.425,22.647,11.459,47.509
2013-01-29,30.01,30.3,17.769,14.367,10.482,13.432,-247.457,-3.425,22.642,11.459,47.509
2013-01-30,30.004,30.292,17.768,11.929,10.486,13.431,-245.668,-3.425,22.637,11.459,47.509
2013-01-31,29.997,30.285,17.767,11.938,9.139,13.43,-243.878,-3.425,22.631,11.459,47.509
2013-02-01,29.995,30.28,17.767,11.94,9.318,13.43,-243.72,-3.425,22.63,11.459,47.509
2013-02-02,29.995,30.28,17.767,11.94,9.318,13.43,-243.72,-3.425,22.63,11.459,47.509
2013-02-03,29.995,30.28,17.767,11.94,9.318,13.43,-243.72,-3.425,22.63,11.459,47.509
2013-02-04,29.985,30.27,17.764,11.977,9.331,13.417,-240.299,-3.425,22.621,11.459,47.509
2013-02-05,29.979,30.262,17.762,11.997,9.338,13.41,-238.509,-3.425,22.616,11.459,47.509
2013-02-06,29.973,30.254,17.756,12.017,9.345,13.403,-236.719,-3.425,22.61,11.459,47.509
2013-02-07,29.967,30.247,17.755,12.037,9.352,13.004,-234.93,-3.425,22.605,11.459,47.509
2013-02-08,30.867,30.242,17.762,12.039,9.353,13.004,-234.737,-3.425,22.604,11.459,47.509
2013-02-09,30.867,30.242,17.762,12.039,9.353,13.004,-234.737,-3.425,22.604,11.459,47.509
2013-02-10,30.867,30.242,17.762,12.039,9.353,13.004,-234.737,-3.425,22.604,11.459,47.509
2013-02-11,30.852,30.232,17.76,12.076,9.366,12.414,-231.35,-3.425,22.595,11.459,47.509
2013-02-12,30.843,30.224,17.759,12.096,9.373,12.402,-229.561,-3.425,22.589,11.459,47.509
2013-02-13,30.833,30.217,17.758,12.116,9.38,11.68,-227.771,-3.425,22.584,11.459,47.509
2013-02-14,30.824,30.209,17.757,12.135,9.387,10.152,-225.981,-3.425,22.579,11.459,47.509
2013-02-15,30.821,30.204,17.756,12.138,9.388,10.152,-225.754,-3.425,22.577,11.459,47.509
2013-02-16,30.821,30.204,17.756,12.138,9.388,10.152,-225.754,-3.425,22.577,11.459,47.509
2013-02-17,30.821,30.204,17.756,12.138,9.388,10.152,-225.754,-3.425,22.577,11.459,47.509
2013-02-18,30.806,30.194,17.754,12.175,9.401,10.152,-222.402,-3.425,22.568,11.459,47.509
2013-02-19,30.796,29.735,17.753,12.194,9.408,10.188,-220.612,-3.425,22.563,11.459,47.509
2013-02-20,30.787,29.733,17.752,12.214,9.415,10.188,-354.166,-3.425,22.558,11.459,47.509
2013-02-21,30.778,29.73,17.751,12.234,9.422,10.188,-157.022,-3.425,22.553,11.459,47.509
2013-02-22,30.774,29.728,17.75,12.237,9.423,10.188,-156.844,-3.425,22.551,11.459,47.509
2013-02-23,30.774,29.728,17.75,12.237,9.423,10.188,-156.844,-3.425,22.551,11.459,47.509
2013-02-24,30.774,29.728,17.75,12.237,9.423,10.188,-156.844,-3.425,22.551,11.459,47.509
2013-02-25,30.759,29.724,17.748,12.273,9.436,10.188,-154.579,-3.425,22.314,11.459,47.509
2013-02-26,30.75,29.722,17.747,12.293,9.443,10.188,-153.358,-3.425,23.941,11.459,47.509
2013-02-27,30.741,29.719,17.753,12.313,9.45,10.188,-152.136,-3.425,20.973,11.459,47.509
2013-02-28,30.732,29.716,17.752,12.333,9.457,10.188,-150.915,-3.425,20.969,11.459,47.509
2013-03-01,30.728,29.714,17.752,12.336,9.458,10.188,-150.713,-3.425,20.967,11.459,47.509
2013-03-02,30.728,29.714,17.752,12.336,9.458,10.188,-150.713,-3.425,20.967,11.459,47.509
2013-03-03,30.728,29.714,17.752,12.336,9.458,10.188,-150.713,-3.425,20.967,11.459,47.509
2013-03-04,30.713,29.711,17.75,12.372,9.471,10.188,-148.472,-3.425,20.96,11.459,47.509
2013-03-05,30.704,29.708,17.748,12.392,9.478,10.188,-147.428,-3.425,20.956,11.459,47.509
2013-03-06,30.695,29.705,17.747,12.412,9.485,10.188,-146.211,-3.425,20.951,11.459,47.509
2013-03-07,30.685,29.703,17.746,12.431,9.492,10.188,-144.993,-3.425,20.947,11.459,47.509
2013-03-08,30.681,29.701,17.746,12.435,9.494,10.188,-144.768,-3.425,20.945,11.459,47.509
2013-03-09,30.681,29.701,17.746,12.435,9.494,10.188,-144.768,-3.425,20.945,11.459,47.509
2013-03-10,30.681,29.701,17.746,12.435,9.494,10.188,-144.768,-3.425,20.945,11.459,47.509
2013-03-11,30.433,29.697,17.744,12.471,9.506,10.187,-98.221,-3.425,20.938,11.459,47.509
2013-03-12,30.423,29.695,17.742,12.491,9.513,10.187,-97.214,-3.425,20.934,11.459,47.509
2013-03-13,30.413,29.692,17.728,12.51,9.52,10.187,-96.206,-3.425,20.93,11.459,47.509
2013-03-14,30.403,29.689,17.727,12.476,9.527,10.187,-95.199,-3.425,20.925,11.459,47.509
2013-03-15,30.399,29.687,17.727,12.48,9.529,10.187,-94.993,-3.425,20.924,11.459,47.509
2013-03-16,30.399,29.687,17.727,12.48,9.529,10.187,-94.993,-3.425,20.924,11.459,47.509
2013-03-17,30.399,29.687,17.727,12.48,9.529,10.187,-94.993,-3.425,20.924,11.459,47.509
2013-03-18,30.384,29.684,17.725,12.515,9.541,10.187,-93.184,-3.425,20.916,11.459,47.509
2013-03-19,30.374,29.681,17.723,12.534,9.548,10.187,-92.176,-3.425,20.912,11.459,47.509
2013-03-20,30.364,29.678,17.722,12.554,9.555,10.187,-91.169,-3.425,20.908,11.459,47.509
2013-03-21,30.354,29.568,17.721,12.573,9.562,10.187,-90.161,-3.425,20.903,11.459,47.509
2013-03-22,30.349,29.566,17.721,12.577,9.564,10.187,-89.936,-3.425,20.902,11.459,47.509
2013-03-23,30.349,29.566,17.721,12.577,9.564,10.187,-89.936,-3.425,20.902,11.459,47.509
2013-03-24,30.349,29.566,17.721,12.577,9.564,10.187,-89.936,-3.425,20.902,11.459,47.509
2013-03-25,30.334,29.563,17.718,12.612,9.576,10.187,-88.146,-3.425,20.895,11.459,47.509
2013-03-26,30.324,29.56,17.717,12.631,9.583,10.187,-87.138,-3.425,20.89,11.459,47.509
2013-03-27,30.314,29.558,17.716,12.651,9.59,10.187,-86.131,-3.425,20.886,11.459,47.509
2013-03-28,30.304,29.555,17.715,12.67,9.597,10.187,-85.123,-3.425,20.882,11.459,47.509
