date,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA,PLTR,AVGO,GEV,VRT
2013-01-01,199336.837,83531.822,51952.852,79392.462,6529.576,4509.325,1625.799,1352.119,2512.103,35030.362,4631.981
2013-01-02,199066.414,83555.979,51817.566,79468.154,6555.399,4509.372,1629.137,1352.119,2513.02,35030.362,4631.981
2013-01-03,199173.101,83547.7,51840.867,79543.202,6562.295,4510.344,1632.474,1352.119,2513.938,35030.362,4631.981
2013-01-04,199202.052,83549.76,51841.136,79544.068,6562.375,4511.651,1632.512,1352.119,2514.1,35030.362,4631.981
2013-01-05,199202.052,83549.76,51841.136,79544.068,6562.375,4511.651,1632.512,1352.119,2514.1,35030.362,4631.981
2013-01-06,199202.052,83549.76,51841.136,79544.068,6562.375,4511.651,1632.512,1352.119,2514.1,35030.362,4631.981
2013-01-07,199393.506,83586.018,51887.468,79769.436,6579.387,4512.749,1639.149,1352.119,2515.446,35030.362,4631.981
2013-01-08,199502.599,83610.505,51910.768,79845.435,6586.258,4513.722,1642.486,1352.119,2516.366,35030.362,4631.981
2013-01-09,199611.692,83653.294,51902.801,79897.481,6593.092,4514.696,1657.782,1352.119,2520.667,35030.362,4631.981
2013-01-10,199639.583,83535.697,51929.073,79973.537,6599.958,4515.67,1661.072,1352.119,2521.637,35030.362,4631.981
2013-01-11,199611.693,83570.189,51922.254,79980.228,6600.541,4516.591,1661.173,1352.119,2521.827,35030.362,4631.981
2013-01-12,199611.693,83570.189,51922.254,79980.228,6600.541,4516.591,1661.173,1352.119,2521.827,35030.362,4631.981
2013-01-13,199611.693,83570.189,51922.254,79980.228,6600.541,4516.591,1661.173,1352.119,2521.827,35030.362,4631.981
2013-01-14,199685.6,83486.446,51935.393,80130.093,6641.064,4517.617,1680.22,1352.119,2524.748,35030.362,4631.981
2013-01-15,199688.031,83477.092,51759.449,80239.316,6647.936,4518.591,1683.46,1352.119,2525.715,35030.362,4631.981
2013-01-16,199032.733,83459.302,51785.523,80315.502,6654.854,4519.565,1686.7,1352.119,2526.683,35030.362,4631.981
2013-01-17,198959.846,83483.768,51679.059,80391.781,6661.733,4520.539,1689.94,1352.119,2527.65,35030.362,4631.981
2013-01-18,198993.959,83541.057,51800.266,80395.59,6661.994,4521.479,1690.102,1352.119,2527.859,35030.362,4631.981
2013-01-19,198993.959,83541.057,51800.266,80395.59,6661.994,4521.479,1690.102,1352.119,2527.859,35030.362,4631.981
2013-01-20,198993.959,83541.057,51800.266,80395.59,6661.994,4521.479,1690.102,1352.119,2527.859,35030.362,4631.981
2013-01-21,198772.688,83576.978,51852.635,80544.168,6675.394,4522.486,1696.42,1352.119,2529.585,35030.362,4631.981
2013-01-22,198707.857,83623.559,50882.226,80620.361,6685.876,4523.728,1699.661,1352.119,2530.672,35030.362,4631.981
2013-01-23,197899.975,83680.952,48577.537,80696.555,6692.843,4524.663,1702.901,1352.119,2531.649,35030.362,4631.981
2013-01-24,191183.58,83722.869,48607.138,80761.462,6699.81,4525.599,1706.141,1352.119,2532.627,35030.362,4631.981
2013-01-25,190992.641,83401.506,48549.248,80646.592,6701.633,4526.52,1706.365,1352.119,2532.856,35030.362,4631.981
2013-01-26,190992.641,83401.506,48549.248,80646.592,6701.633,4526.52,1706.365,1352.119,2532.856,35030.362,4631.981
2013-01-27,190992.641,83401.506,48549.248,80646.592,6701.633,4526.52,1706.365,1352.119,2532.856,35030.362,4631.981
2013-01-28,190848.425,83436.358,48606.877,80852.141,6712.773,4527.525,1712.621,1352.119,2534.582,35030.362,4631.981
2013-01-29,190938.706,83476.45,48636.725,80637.996,6740.977,4528.499,1715.861,1352.119,2535.559,35030.362,4631.981
2013-01-30,191029.124,83501.307,48666.573,77692.209,6776.25,4529.474,1719.102,1352.119,2536.537,35030.362,4631.981
2013-01-31,191121.137,83526.164,48696.42,77688.137,6841.432,4530.448,1722.342,1352.119,2533.412,35030.362,4631.981
2013-02-01,191150.141,83540.983,48699.061,77622.274,6834.574,4530.448,1722.628,1352.119,2533.648,35030.362,4631.981
2013-02-02,191150.141,83540.983,48699.061,77622.274,6834.574,4530.448,1722.628,1352.119,2533.648,35030.362,4631.981
2013-02-03,191150.141,83540.983,48699.061,77622.274,6834.574,4530.448,1722.628,1352.119,2533.648,35030.362,4631.981
2013-02-04,191299.593,83509.947,49240.461,77751.198,6848.051,4532.607,1729.038,1352.119,2535.267,35030.362,4631.981
2013-02-05,191389.749,83534.795,49270.818,77818.722,6854.782,4535.645,1732.286,1352.119,2536.195,35030.362,4631.981
2013-02-06,191479.905,83550.406,49271.68,77886.247,6861.513,4533.763,1735.535,1352.119,2537.122,35030.362,4631.981
2013-02-07,191570.062,83575.251,49561.612,77953.771,6868.245,4527.42,1738.784,1352.119,2538.05,35030.362,4631.981
2013-02-08,191602.657,83590.54,49495.908,77801.57,6868.97,4534.211,1739.134,1352.119,2538.303,35030.362,4631.981
2013-02-09,191602.657,83590.54,49495.908,77801.57,6868.97,4534.211,1739.134,1352.119,2538.303,35030.362,4631.981
2013-02-10,191602.657,83590.54,49495.908,77801.57,6868.97,4534.211,1739.134,1352.119,2538.303,35030.362,4631.981
2013-02-11,191750.374,83624.94,49552.785,77928.244,6881.708,4535.677,1745.281,1352.119,2542.155,35030.362,4631.981
2013-02-12,191840.531,83649.785,49582.842,77995.185,6898.399,4533.876,1748.53,1352.119,2533.122,35030.362,4631.981
2013-02-13,191930.261,83673.677,49612.899,78062.126,6905.219,4469.304,1756.725,1352.119,2534.034,35030.362,4631.981
2013-02-14,191998.241,83698.529,49642.956,78129.068,6912.039,4275.987,1759.952,1352.119,2534.946,35030.362,4631.981
2013-02-15,192032.498,83714.301,49646.771,78137.564,6912.738,4276.043,1760.362,1352.119,2535.212,35030.362,4631.981
2013-02-16,192032.498,83714.301,49646.771,78137.564,6912.738,4276.043,1760.362,1352.119,2535.212,35030.362,4631.981
2013-02-17,192032.498,83714.301,49646.771,78137.564,6912.738,4276.043,1760.362,1352.119,2535.212,35030.362,4631.981
2013-02-18,192178.174,83748.352,49703.07,78262.951,6925.504,4278.871,1766.406,1352.119,2536.769,35030.362,4631.981
2013-02-19,192268.14,83786.323,49733.127,78329.892,6932.319,4280.313,1786.146,1352.119,2537.138,35030.362,4631.981
2013-02-20,192358.106,83811.212,49555.179,78101.96,6939.134,4281.597,1823.923,1352.119,2538.049,35030.362,4631.981
2013-02-21,192448.073,83836.101,49600.107,78167.665,6945.949,4283.04,1933.137,1352.119,2530.149,35030.362,4631.981
2013-02-22,192484.059,83852.374,49604.392,78177.268,6946.946,4283.123,1933.556,1352.119,2530.434,35030.362,4631.981
2013-02-23,192484.059,83852.374,49604.392,78177.268,6946.946,4283.123,1933.556,1352.119,2530.434,35030.362,4631.981
2013-02-24,192484.059,83852.374,49604.392,78177.268,6946.946,4283.123,1933.556,1352.119,2530.434,35030.362,4631.981
2013-02-25,192628.005,83885.878,49081.621,78299.074,6959.781,4285.925,1938.867,1352.119,2530.81,35030.362,4631.981
2013-02-26,192717.971,83910.767,49110.18,78364.779,6966.601,4287.368,1941.732,1352.119,2520.173,35030.362,4631.981
2013-02-27,192807.937,83935.533,49372.472,78430.483,6973.422,4288.81,1944.597,1352.119,2474.901,35030.362,4631.981
2013-02-28,192897.904,83960.421,49401.348,78496.188,6980.242,4290.253,1954.515,1352.119,2475.927,35030.362,4631.981
2013-03-01,192637.721,83977.173,49774.068,78506.894,6981.37,4290.364,1954.96,1352.119,2476.266,35030.362,4631.981
2013-03-02,192637.721,83977.173,49774.068,78506.894,6981.37,4290.364,1954.96,1352.119,2476.266,35030.362,4631.981
2013-03-03,192637.721,83977.173,49774.068,78506.894,6981.37,4290.364,1954.96,1352.119,2476.266,35030.362,4631.981
2013-03-04,192759.947,83986.729,49830.231,78627.43,6993.883,4293.138,1959.899,1352.119,2477.978,35030.362,4631.981
2013-03-05,192723.205,84011.537,49905.712,78693.302,7000.703,4294.581,1965.063,1352.119,2479.004,35030.362,4631.981
2013-03-06,192828.593,84036.346,49936.537,78759.007,7007.523,4296.024,1967.744,1352.119,2480.03,35030.362,4631.981
2013-03-07,192887.086,84061.154,49990.453,78824.712,7014.343,4297.466,1970.424,1352.119,2481.055,35030.362,4631.981
2013-03-08,192926.769,84078.329,49759.142,78836.842,7015.701,4297.605,1980.651,1352.119,2481.414,35030.362,4631.981
2013-03-09,192926.769,84078.329,49759.142,78836.842,7015.701,4297.605,1980.651,1352.119,2481.414,35030.362,4631.981
