date,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA,PLTR,AVGO,GEV,VRT
2013-01-02,516468.1379,232462.705,237655.7608,116550.7506,60659.9663,7948.1026,4023.2219,11106.9837,7987.8376,38091.7006,849.5625
2013-01-03,509945.2618,229348.6138,237793.7703,117080.7121,60161.688,7954.3511,3956.0924,11106.9837,8029.5688,38091.7006,849.5625
2013-01-04,495744.6927,225056.2177,242492.6675,117384.1943,62306.4511,8216.7884,3913.9942,11106.9837,7978.0185,38091.7006,849.5625
2013-01-05,495744.6927,225056.2177,242492.6675,117384.1943,62306.4511,8216.7884,3913.9942,11106.9837,7978.0185,38091.7006,849.5625
2013-01-06,495744.6927,225056.2177,242492.6675,117384.1943,62306.4511,8216.7884,3913.9942,11106.9837,7978.0185,38091.7006,849.5625
2013-01-07,492828.5475,224635.3946,241434.5942,121600.8698,63739.1366,7979.3451,3907.1674,11106.9837,7933.8326,38091.7006,849.5625
2013-01-08,493286.3534,223457.0897,240958.1326,120659.0842,62957.8687,7805.3241,3832.0734,11106.9837,7879.8275,38091.7006,849.5625
2013-01-09,485576.8467,224719.5592,242541.2994,120645.4954,66271.0132,7629.4286,3827.5222,11106.9837,8054.1166,38091.7006,849.5625
2013-01-10,491596.084,222699.6081,243646.0332,120188.0074,67809.1766,7641.9257,3815.0065,11106.9837,8228.4056,38091.7006,849.5625
2013-01-11,488581.7702,225813.6994,243156.4278,121365.6994,68719.0761,7629.4286,3744.4636,11106.9837,8429.6971,38091.7006,849.5625
2013-01-12,488581.7702,225813.6994,243156.4278,121365.6994,68719.0761,7629.4286,3744.4636,11106.9837,8429.6971,38091.7006,849.5625
2013-01-13,488581.7702,225813.6994,243156.4278,121365.6994,68719.0761,7629.4286,3744.4636,11106.9837,8429.6971,38091.7006,849.5625
2013-01-14,471162.6046,226318.6871,237655.7608,123535.3706,67045.511,7623.1801,3784.2862,11106.9837,8486.1569,38091.7006,849.5625
2013-01-15,456297.624,229011.9553,238207.799,123159.4151,65209.4638,7485.7129,3857.1047,11106.9837,8314.3227,38091.7006,849.5625
2013-01-16,475238.032,227581.1566,235007.2915,121814.1284,64667.8569,7554.4465,3879.8605,11106.9837,8483.7022,38091.7006,849.5625
2013-01-17,472035.9105,229348.6138,233735.6319,122516.214,65296.1209,7654.4227,3911.7186,11106.9837,8545.0715,38091.7006,849.5625
2013-01-18,469519.2871,229348.6138,231497.9053,123259.066,64256.2357,7604.4346,3927.6476,11106.9837,8454.2449,38091.7006,849.5625
2013-01-19,469519.2871,229348.6138,231497.9053,123259.066,64256.2357,7604.4346,3927.6476,11106.9837,8454.2449,38091.7006,849.5625
2013-01-20,469519.2871,229348.6138,231497.9053,123259.066,64256.2357,7604.4346,3927.6476,11106.9837,8454.2449,38091.7006,849.5625
2013-01-21,469519.2871,229348.6138,231497.9053,123259.066,64256.2357,7604.4346,3927.6476,11106.9837,8454.2449,38091.7006,849.5625
2013-01-22,473998.5011,228506.9675,230959.0108,122384.8561,66572.1466,7566.9436,4003.8795,11106.9837,8454.2449,38091.7006,849.5625
2013-01-23,482670.5223,232378.5404,243652.6051,121442.7024,66769.2915,7579.4406,4096.0404,11106.9837,8449.3353,38091.7006,849.5625
