date,AAPL_mom_21d,AAPL_mom_63d,AAPL_mom_126d,AAPL_mom_252_skip21,MSFT_mom_21d,MSFT_mom_63d,MSFT_mom_126d,MSFT_mom_252_skip21,GOOGL_mom_21d,GOOGL_mom_63d,GOOGL_mom_126d,GOOGL_mom_252_skip21,AMZN_mom_21d,AMZN_mom_63d,AMZN_mom_126d,AMZN_mom_252_skip21,META_mom_21d,META_mom_63d,META_mom_126d,META_mom_252_skip21,NVDA_mom_21d,NVDA_mom_63d,NVDA_mom_126d,NVDA_mom_252_skip21,TSLA_mom_21d,TSLA_mom_63d,TSLA_mom_126d,TSLA_mom_252_skip21,PLTR_mom_21d,PLTR_mom_63d,PLTR_mom_126d,PLTR_mom_252_skip21,AVGO_mom_21d,AVGO_mom_63d,AVGO_mom_126d,AVGO_mom_252_skip21,GEV_mom_21d,GEV_mom_63d,GEV_mom_126d,GEV_mom_252_skip21,VRT_mom_21d,VRT_mom_63d,VRT_mom_126d,VRT_mom_252_skip21
2013-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-23,-0.0637961028876195,,,,-0.00036415951085733145,,,,0.02521850470411402,,,,0.04197108658479731,,,,0.10069769114579596,,,,-0.04635310156782546,,,,0.018113943918890207,,,,0.0,,,,0.05789254477301142,,,,0.0,,,,0.0,,,
2013-01-24,-0.16896814509983227,,,,0.013943950786056147,,,,0.041729260557503034,,,,0.058573197152584244,,,,0.11919353084091822,,,,-0.04256043581886282,,,,0.06384814495254543,,,,0.0,,,,0.03728251864125931,,,,0.0,,,,0.0,,,
2013-01-25,-0.16531102428867972,,,,0.042634308986128966,,,,0.02127775656064168,,,,0.09584812471060333,,,,0.09667366946778722,,,,-0.056361239288068576,,,,0.07500109013212408,,,,0.0,,,,0.05129274395329442,,,,0.0,,,,0.0,,,
2013-01-26,-0.16531102428867972,,,,0.042634308986128966,,,,0.02127775656064168,,,,0.09584812471060333,,,,0.09667366946778722,,,,-0.056361239288068576,,,,0.07500109013212408,,,,0.0,,,,0.05129274395329442,,,,0.0,,,,0.0,,,
2013-01-27,-0.16531102428867972,,,,0.042634308986128966,,,,0.02127775656064168,,,,0.09584812471060333,,,,0.09667366946778722,,,,-0.056361239288068576,,,,0.07500109013212408,,,,0.0,,,,0.05129274395329442,,,,0.0,,,,0.0,,,
2013-01-28,-0.1413836827131133,,,,0.045747650507118154,,,,0.021754616691325612,,,,0.0282351188258958,,,,0.10360406612588569,,,,-0.012559402579769063,,,,0.10745642772900021,,,,0.0,,,,0.06666666666666687,,,,0.0,,,,0.0,,,
2013-01-29,-0.12762195965925538,,,,0.05498730198818591,,,,0.027782353264151904,,,,-0.022599294241309464,,,,0.05949617103849758,,,,-0.012144344205412883,,,,0.12679820068587722,,,,0.0,,,,0.0768256648374841,,,,0.0,,,,0.0,,,
2013-01-30,-0.11655865321931203,,,,0.043070211746759623,,,,0.021328823914466444,,,,0.0240276317765431,,,,0.021232470867074804,,,,0.008874689385871548,,,,0.1153074419226825,,,,0.0,,,,0.06815365551425034,,,,0.0,,,,0.0,,,
2013-01-31,-0.1299297352920752,,,,0.03741646643640184,,,,0.019168114682884374,,,,0.0006029999246250917,,,,-0.010198500788212161,,,,0.002481389578163684,,,,0.1187312664966671,,,,0.0,,,,0.06709781729991904,,,,0.0,,,,0.0,,,
2013-02-01,-0.1281585466556565,,,,0.0409963529999815,,,,0.048098373143261375,,,,-0.01097260580727033,,,,-0.06273015873015875,,,,0.013134540291089847,,,,0.16376481312670932,,,,0.0,,,,0.05603788476716676,,,,0.0,,,,0.0,,,
2013-02-02,-0.1281585466556565,,,,0.0409963529999815,,,,0.048098373143261375,,,,-0.01097260580727033,,,,-0.06273015873015875,,,,0.013134540291089847,,,,0.16376481312670932,,,,0.0,,,,0.05603788476716676,,,,0.0,,,,0.0,,,
2013-02-03,-0.1281585466556565,,,,0.0409963529999815,,,,0.048098373143261375,,,,-0.01097260580727033,,,,-0.06273015873015875,,,,0.013134540291089847,,,,0.16376481312670932,,,,0.0,,,,0.05603788476716676,,,,0.0,,,,0.0,,,
2013-02-04,-0.11845182028363088,,,,0.02045245692700548,,,,0.04943494961866057,,,,-0.04678448339077512,,,,-0.09172550678423841,,,,-0.003552397868561097,,,,0.1347133901592028,,,,0.0,,,,0.017640141121128883,,,,0.0,,,,0.0,,,
2013-02-05,-0.057778503268107295,,,,0.010473330656054713,,,,0.05626214940294383,,,,-0.018389113644722288,,,,-0.04850958482486367,,,,0.0383502170767005,,,,0.12477876106194685,,,,0.0,,,,0.0456182472989195,,,,0.0,,,,0.0,,,
2013-02-06,-0.09630379416182333,,,,0.011094834197438397,,,,0.07684512751224437,,,,-0.024986985944820295,,,,-0.026819147859528436,,,,0.020795984223736186,,,,0.1486825320019356,,,,0.0,,,,0.031372549019607954,,,,0.0,,,,0.0,,,
2013-02-07,-0.06312377546055825,,,,0.00121212121212122,,,,0.08801720722250517,,,,-0.03785862170955334,,,,-0.04944706157495571,,,,0.0031847133757960666,,,,0.14834205933682387,,,,0.0,,,,0.004281821720513834,,,,0.0,,,,0.0,,,
2013-02-08,-0.04450452117815029,,,,0.011009341535657136,,,,0.11475597211109845,,,,-0.037336469204762524,,,,-0.0375840293338765,,,,0.01638176638176625,,,,0.13674879415982288,,,,0.0,,,,0.025580480125934724,,,,0.0,,,,0.0,,,
2013-02-09,-0.04450452117815029,,,,0.011009341535657136,,,,0.11475597211109845,,,,-0.037336469204762524,,,,-0.0375840293338765,,,,0.01638176638176625,,,,0.13674879415982288,,,,0.0,,,,0.025580480125934724,,,,0.0,,,,0.0,,,
