date,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA,PLTR,AVGO,GEV,VRT
2013-01-02,16.6123,22.243,17.963,12.866,27.806,0.2934,2.3573,7.25,2.401,130.8435,9.8025
2013-01-03,16.4025,21.945,17.973,12.924,27.577,0.2937,2.318,7.25,2.414,130.8435,9.8025
2013-01-04,15.9457,21.5343,18.329,12.958,28.56,0.3034,2.2933,7.25,2.398,130.8435,9.8025
2013-01-05,15.9457,21.5343,18.329,12.958,28.56,0.3034,2.2933,7.25,2.398,130.8435,9.8025
2013-01-06,15.9457,21.5343,18.329,12.958,28.56,0.3034,2.2933,7.25,2.398,130.8435,9.8025
2013-01-07,15.8519,21.494,18.249,13.423,29.217,0.2946,2.2893,7.25,2.385,130.8435,9.8025
2013-01-08,15.8946,21.3813,18.213,13.319,28.859,0.2882,2.2453,7.25,2.369,130.8435,9.8025
2013-01-09,15.6462,21.5021,18.332,13.318,30.378,0.2817,2.2427,7.25,2.421,130.8435,9.8025
2013-01-10,15.8401,21.3088,18.416,13.267,31.083,0.2821,2.2353,7.25,2.474,130.8435,9.8025
2013-01-11,15.743,21.6068,18.379,13.397,31.5,0.2817,2.194,7.25,2.534,130.8435,9.8025
2013-01-12,15.743,21.6068,18.379,13.397,31.5,0.2817,2.194,7.25,2.534,130.8435,9.8025
2013-01-13,15.743,21.6068,18.379,13.397,31.5,0.2817,2.194,7.25,2.534,130.8435,9.8025
2013-01-14,15.1817,21.6551,17.963,13.637,30.733,0.2815,2.2173,7.25,2.551,130.8435,9.8025
2013-01-15,14.7027,21.9128,18.005,13.595,29.891,0.2764,2.26,7.25,2.499,130.8435,9.8025
2013-01-16,15.313,21.7759,17.763,13.447,29.643,0.2789,2.2733,7.25,2.55,130.8435,9.8025
2013-01-17,15.2098,21.945,17.667,13.524,29.931,0.2826,2.292,7.25,2.569,130.8435,9.8025
2013-01-18,15.1288,21.945,17.498,13.606,29.454,0.2808,2.3013,7.25,2.541,130.8435,9.8025
2013-01-19,15.1288,21.945,17.498,13.606,29.454,0.2808,2.3013,7.25,2.541,130.8435,9.8025
2013-01-20,15.1288,21.945,17.498,13.606,29.454,0.2808,2.3013,7.25,2.541,130.8435,9.8025
2013-01-21,15.1288,21.945,17.498,13.606,29.454,0.2808,2.3013,7.25,2.541,130.8435,9.8025
2013-01-22,15.2731,21.8645,17.457,13.51,30.516,0.2794,2.346,7.25,2.541,130.8435,9.8025
2013-01-23,15.5525,22.2349,18.416,13.406,30.606,0.2798,2.4,7.25,2.54,130.8435,9.8025
2013-01-24,13.631,22.251,18.723,13.681,30.864,0.2812,2.466,7.25,2.504,130.8435,9.8025
2013-01-25,13.3097,22.4524,18.719,14.2,31.321,0.2863,2.4653,7.25,2.521,130.8435,9.8025
2013-01-26,13.3097,22.4524,18.719,14.2,31.321,0.2863,2.4653,7.25,2.521,130.8435,9.8025
2013-01-27,13.3097,22.4524,18.719,14.2,31.321,0.2863,2.4653,7.25,2.521,130.8435,9.8025
2013-01-28,13.6107,22.4773,18.646,13.802,32.244,0.2909,2.5353,7.25,2.544,130.8435,9.8025
2013-01-29,13.8661,22.557,18.719,13.018,30.576,0.2847,2.53,7.25,2.551,130.8435,9.8025
2013-01-30,13.8225,22.4282,18.723,13.638,31.023,0.2842,2.5013,7.25,2.586,130.8435,9.8025
2013-01-31,13.782,22.1061,18.769,13.275,30.766,0.2828,2.5007,7.25,2.64,130.8435,9.8025
2013-02-01,13.7254,22.4926,19.263,13.25,29.524,0.2854,2.5533,7.25,2.676,130.8435,9.8025
2013-02-02,13.7254,22.4926,19.263,13.25,29.524,0.2854,2.5533,7.25,2.676,130.8435,9.8025
2013-02-03,13.7254,22.4926,19.263,13.25,29.524,0.2854,2.5533,7.25,2.676,130.8435,9.8025
2013-02-04,13.3834,22.098,18.851,12.999,27.914,0.2805,2.516,7.25,2.596,130.8435,9.8025
2013-02-05,13.8532,22.1423,19.018,13.345,28.441,0.287,2.542,7.25,2.613,130.8435,9.8025
2013-02-06,13.8383,22.0175,19.128,13.111,28.848,0.2847,2.6113,7.25,2.63,130.8435,9.8025
2013-02-07,14.2497,21.9716,19.222,13.012,28.451,0.2835,2.632,7.25,2.58,130.8435,9.8025
2013-02-08,14.4555,22.1866,19.506,13.098,28.347,0.2854,2.616,7.25,2.606,130.8435,9.8025
2013-02-09,14.4555,22.1866,19.506,13.098,28.347,0.2854,2.616,7.25,2.606,130.8435,9.8025
2013-02-10,14.4555,22.1866,19.506,13.098,28.347,0.2854,2.616,7.25,2.606,130.8435,9.8025
2013-02-11,14.6061,22.4362,19.433,12.86,28.064,0.2886,2.5613,7.25,2.612,130.8435,9.8025
2013-02-12,14.24,22.4524,19.39,12.935,27.18,0.2868,2.526,7.25,2.593,130.8435,9.8025
2013-02-13,14.2129,22.5732,19.444,13.474,27.714,0.2854,2.5633,7.25,2.595,130.8435,9.8025
2013-02-14,14.2001,22.5812,19.567,13.462,28.302,0.2937,2.5533,7.25,2.63,130.8435,9.8025
2013-02-15,14.0044,22.557,19.693,13.254,28.124,0.2937,2.4693,7.25,2.593,130.8435,9.8025
2013-02-16,14.0044,22.557,19.693,13.254,28.124,0.2937,2.4693,7.25,2.593,130.8435,9.8025
2013-02-17,14.0044,22.557,19.693,13.254,28.124,0.2937,2.4693,7.25,2.593,130.8435,9.8025
2013-02-18,14.0044,22.557,19.693,13.254,28.124,0.2937,2.4693,7.25,2.593,130.8435,9.8025
2013-02-19,13.9993,22.7722,20.039,13.488,28.729,0.2896,2.6187,7.25,2.623,130.8435,9.8025
2013-02-20,13.6602,22.6301,19.682,13.321,28.265,0.2856,2.5693,7.25,2.558,130.8435,9.8025
2013-02-21,13.5753,22.3216,19.758,13.297,27.094,0.2835,2.344,7.25,2.485,130.8435,9.8025
2013-02-22,13.7199,22.5408,19.862,13.271,26.942,0.2888,2.4073,7.25,2.516,130.8435,9.8025
2013-02-23,13.7199,22.5408,19.862,13.271,26.942,0.2888,2.4073,7.25,2.516,130.8435,9.8025
2013-02-24,13.7199,22.5408,19.862,13.271,26.942,0.2888,2.4073,7.25,2.516,130.8435,9.8025
2013-02-25,13.4761,22.2241,19.64,12.994,27.081,0.2838,2.292,7.25,2.431,130.8435,9.8025
2013-02-26,13.6639,22.2241,19.624,12.968,27.2,0.2871,2.2953,7.25,2.445,130.8435,9.8025
2013-02-27,13.53,22.5814,19.864,13.163,26.684,0.2925,2.34,7.25,2.486,130.8435,9.8025
2013-02-28,13.4335,22.5733,19.899,13.214,27.061,0.2939,2.322,7.25,2.525,130.8435,9.8025
2013-03-01,13.1009,22.6951,20.023,13.287,27.587,0.295,2.31,7.25,2.487,130.8435,9.8025
2013-03-02,13.1009,22.6951,20.023,13.287,27.587,0.295,2.31,7.25,2.487,130.8435,9.8025
2013-03-03,13.1009,22.6951,20.023,13.287,27.587,0.295,2.31,7.25,2.487,130.8435,9.8025
2013-03-04,12.7837,22.8575,20.403,13.656,27.528,0.2937,2.372,7.25,2.475,130.8435,9.8025
2013-03-05,13.1214,23.0199,20.828,13.779,27.329,0.2971,2.4433,7.25,2.533,130.8435,9.8025
2013-03-06,12.9545,22.8088,20.649,13.69,27.262,0.2969,2.5127,7.25,2.561,130.8435,9.8025
2013-03-07,13.1043,22.8494,20.679,13.694,28.38,0.2962,2.5487,7.25,2.581,130.8435,9.8025
2013-03-08,13.1389,22.7357,20.652,13.71,27.766,0.2976,2.5647,7.25,2.603,130.8435,9.8025
2013-03-09,13.1389,22.7357,20.652,13.71,27.766,0.2976,2.5647,7.25,2.603,130.8435,9.8025
2013-03-10,13.1389,22.7357,20.652,13.71,27.766,0.2976,2.5647,7.25,2.603,130.8435,9.8025
2013-03-11,13.3261,22.6301,20.734,13.562,27.945,0.2947,2.6067,7.25,2.602,130.8435,9.8025
2013-03-12,13.0388,22.6626,20.555,13.707,27.637,0.2957,2.608,7.25,2.616,130.8435,9.8025
2013-03-13,13.0363,22.6667,20.498,13.755,26.892,0.2957,2.5987,7.25,2.656,130.8435,9.8025
2013-03-14,13.1626,22.8453,20.404,13.287,26.852,0.2959,2.4567,7.25,2.705,130.8435,9.8025
2013-03-15,13.5023,22.7641,20.224,13.091,26.46,0.2934,2.3527,7.25,2.657,130.8435,9.8025
2013-03-16,13.5023,22.7641,20.224,13.091,26.46,0.2934,2.3527,7.25,2.657,130.8435,9.8025
2013-03-17,13.5023,22.7641,20.224,13.091,26.46,0.2934,2.3527,7.25,2.657,130.8435,9.8025
2013-03-18,13.8693,22.8169,20.063,12.894,26.306,0.2913,2.3433,7.25,2.602,130.8435,9.8025
2013-03-19,13.8319,22.8818,20.15,12.821,26.366,0.2894,2.3387,7.25,2.605,130.8435,9.8025
2013-03-20,13.7585,22.9915,20.235,12.864,25.681,0.2929,2.3967,7.25,2.651,130.8435,9.8025
2013-03-21,13.7783,22.825,20.149,12.67,25.561,0.2883,2.4007,7.25,2.638,130.8435,9.8025
2013-03-22,14.0577,22.9387,20.125,12.888,25.552,0.2897,2.4413,7.25,2.656,130.8435,9.8025
2013-03-23,14.0577,22.9387,20.125,12.888,25.552,0.2897,2.4413,7.25,2.656,130.8435,9.8025
2013-03-24,14.0577,22.9387,20.125,12.888,25.552,0.2897,2.4413,7.25,2.656,130.8435,9.8025
2013-03-25,14.1085,22.8656,20.109,12.801,24.957,0.2881,2.502,7.25,2.635,130.8435,9.8025
2013-03-26,14.0341,22.8615,20.178,13.016,25.03,0.2901,2.524,7.25,2.655,130.8435,9.8025
2013-03-27,13.7585,23.0361,19.935,13.265,25.909,0.2936,2.544,7.25,2.644,130.8435,9.8025
2013-03-28,13.4718,23.2269,19.725,13.325,25.403,0.2978,2.526,7.25,2.663,130.8435,9.8025
2013-03-29,13.4718,23.2269,19.725,13.325,25.403,0.2978,2.526,7.25,2.663,130.8435,9.8025
2013-03-30,13.4718,23.2269,19.725,13.325,25.403,0.2978,2.526,7.25,2.663,130.8435,9.8025
2013-03-31,13.4718,23.2269,19.725,13.325,25.403,0.2978,2.526,7.25,2.663,130.8435,9.8025
2013-04-01,13.0534,23.231,19.899,13.081,25.353,0.2881,2.9287,7.25,2.622,130.8435,9.8025
2013-04-02,13.0802,23.3853,20.193,13.166,25.244,0.2849,2.956,7.25,2.588,130.8435,9.8025
2013-04-03,13.1471,23.1904,20.023,12.952,26.068,0.2815,2.74,7.25,2.545,130.8435,9.8025
2013-04-04,13.0172,23.2188,19.747,12.954,26.885,0.2842,2.8007,7.25,2.567,130.8435,9.8025
