date,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA,PLTR,AVGO,MU,GEV,VRT,BE,LITE,000660
2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-23,0.9419467991112094,0.7363243169767458,-0.32116273400049555,2.146307051613068,-1.7898947492466641,-0.1449148921709553,0.589451115452129,-0.23303881308572544,-0.17428953247587867,0.9419467991112094,-0.23303881308572544,-0.23303881308572544,-0.23303881308572544,-0.23303881308572544,-1.7605201089417408
2013-01-24,0.8848382258370523,-0.543223467760722,-0.7672331451878238,2.0888902420077247,-1.663271854896231,0.8568370161586646,0.8568370161586646,-0.1792077419416815,-0.12320532258490602,0.9408406451938278,-0.1792077419416815,-0.1792077419416815,-0.1792077419416815,-0.1792077419416815,-1.6352706452178434
2013-01-25,-0.07772688929205293,-0.6180235587612013,-0.7033335592036984,2.254079789469535,-1.527996896814504,0.9459931160179124,0.9459931160179124,-0.10616355610621864,-0.049290222477887224,1.0313031164604096,-0.10616355610621864,-0.10616355610621864,-0.10616355610621864,-0.10616355610621864,-1.6701802308853324
2013-01-26,-0.23475236396528595,0.0019727089408847487,-0.856155680343984,2.221270267436235,-1.5959215331757675,0.9488730005655674,0.9488730005655674,-0.14598046162547193,-0.08679919339892926,1.0376449029053814,-0.14598046162547193,-0.14598046162547193,-0.14598046162547193,-0.14598046162547193,-1.6551028014023101
2013-01-27,-0.22480136423213223,0.009773972357918784,-0.9285273740022854,2.208917752889647,-1.5736095496249256,0.948075318718123,0.948075318718123,-0.1368356130108631,-0.07819177886335035,1.036041069939392,-0.1368356130108631,-0.1368356130108631,-0.1368356130108631,-0.1368356130108631,-1.6615753008461946
2013-01-28,-0.18686181869298724,-0.06630580663299547,-0.9704758970829337,2.2543974255218457,-1.6335339634128883,0.9584202958769344,0.9584202958769344,-0.1567228156779893,-0.09644480964799342,1.0488373049219282,-0.1567228156779893,-0.1567228156779893,-0.1567228156779893,-0.1567228156779893,-1.4828389483378988
2013-01-29,-0.40497910653381225,-0.2628811744166851,-1.3286156652951382,2.4725040188380114,-0.440503589563094,0.9449512485788952,1.2646715958424313,-0.36945462350453045,-0.2984056574459669,1.0515246976667405,-0.36945462350453045,-0.36945462350453045,-0.36945462350453045,-0.36945462350453045,-1.1509932501487294
2013-01-30,-0.5534775597027775,-0.47868329487807776,-1.3762144727744734,2.625278695346958,-0.3290947652286785,1.0172020016159151,1.1667905312653144,-0.3664918976410283,-0.29169763281632866,0.867613471966516,-0.3664918976410283,-0.3664918976410283,-0.3664918976410283,-0.3664918976410283,-0.8152574865892263
2013-01-31,-1.9639601414402952,0.09134698332280441,-0.8461615297270305,-0.4855813324001709,0.019230943857432504,1.4615517331648706,1.4254937134321848,0.12740500305549038,0.12740500305549038,1.3173196542341268,0.12740500305549038,0.12740500305549038,0.12740500305549038,0.12740500305549038,-1.7836700427768652
2013-02-01,-1.3535137202547485,0.34317132567365444,-0.5195498841204489,-0.46203513680084196,-2.2449923037086554,1.3209220301069715,1.292164656447168,0.2568992046942441,0.2568992046942441,1.2058925354677579,0.2568992046942441,0.2568992046942441,0.2568992046942441,0.2568992046942441,-1.123454730976321
2013-02-02,-1.2738278410627168,0.31355762241543794,-0.36255100091785014,-0.33315497381640286,-2.449668925120609,1.3424185709660936,1.3130225438646463,0.2547655682125433,0.2547655682125433,0.989666245748726,0.2547655682125433,0.2547655682125433,0.2547655682125433,0.2547655682125433,-1.0680556513525856
2013-02-03,-1.2443603153066254,0.3256269983979954,-0.34307130188360235,-0.459366658454315,-2.407313881013752,1.3432113683917313,1.3141375292490531,0.2674793201126391,0.2674793201126391,0.9943252986795933,0.2674793201126391,0.2674793201126391,0.2674793201126391,0.2674793201126391,-1.1280649587359126
2013-02-04,-1.2443603153066254,0.3256269983979954,-0.34307130188360235,-0.459366658454315,-2.407313881013752,1.3432113683917313,1.3141375292490531,0.2674793201126391,0.2674793201126391,0.9943252986795933,0.2674793201126391,0.2674793201126391,0.2674793201126391,0.2674793201126391,-1.1280649587359126
2013-02-05,-1.1857430580181068,0.555152133199342,-0.4023402219702548,-0.48938498153112725,-2.4914144514311936,1.3385549692471939,1.3095400493935698,0.2650029346631005,0.2650029346631005,0.8162864118819593,0.2650029346631005,0.2650029346631005,0.2650029346631005,0.2650029346631005,-1.040668458749986
2013-02-06,-1.1867511182369892,0.6078481337311408,-0.40523208915409387,-0.4920675368299711,-2.489282833375148,1.3314768643634514,1.3025317151381588,0.26050634302763176,0.26050634302763176,0.8104641783081877,0.26050634302763176,0.26050634302763176,0.26050634302763176,0.26050634302763176,-1.042025372110527
2013-02-07,-1.190820113527393,0.6099322532701281,-0.17426635807717944,-0.4937546812186751,-2.526862192119102,1.2198645065402562,1.3069976855788459,0.2613995371157692,0.2613995371157692,0.8132430043601708,0.2613995371157692,0.2613995371157692,0.2613995371157692,0.2613995371157692,-1.1327313275016664
