date,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA,PLTR,AVGO,MU,GEV,VRT,BE
2013-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-06,0.13777562223991985,0.06954388551157858,0.7177453844308207,-0.6468893501360046,2.423538802639352,-2.182103426523683,-0.4592520741330662,0.05248595132949328,0.13777562223991985,-0.40807827158681026,0.05248595132949328,0.05248595132949328,0.05248595132949328
2013-03-07,0.05618729636080929,-0.011760131796448458,0.7696352920120156,-0.7591818415262838,2.366399853707573,-2.2200515469073254,-0.5043789859365672,0.0052267252428659814,0.09016101043943817,0.1920821526753248,0.0052267252428659814,0.0052267252428659814,0.0052267252428659814
2013-03-08,0.020943813777884936,-0.0471235810002411,0.7356514589482084,-0.6937638313924385,2.4033026310122962,-2.2593139112893375,-0.25132576533461926,-0.030106732305709594,0.054977511166947955,0.157078603334137,-0.030106732305709594,-0.030106732305709594,-0.030106732305709594
2013-03-11,0.07812947004210083,0.014649275632893909,0.6917713493311011,-0.768273122080658,2.067175561530584,-2.5457185655384515,-0.21811143720086476,0.05696940523903185,0.16276972925437672,0.2897301180727906,0.05696940523903185,0.05696940523903185,0.05696940523903185
2013-03-12,0.16840187591671316,0.07718419312849353,0.7385123933430858,-0.8577970554507576,1.924342269589941,-2.6137374491239855,-0.12805559314500062,0.05437977243143862,0.16840187591671316,0.3052284000990426,0.05437977243143862,0.05437977243143862,0.05437977243143862
2013-03-13,1.099136550125695,-0.26479198707573565,0.40634745186465093,0.40634745186465093,1.7269766704247664,-2.6895538309893903,-0.22149266843442036,-0.15654369047244748,-0.00499607522784407,0.16820119933741698,-0.15654369047244748,-0.15654369047244748,-0.15654369047244748
2013-03-14,1.0101613842622013,-0.3152832891874262,0.2760689497362538,0.3984176888239117,1.8869940143904163,-2.6399093318529268,-0.19293455009976826,-0.1317601805559393,0.0925458411047669,0.010980015046328272,-0.1317601805559393,-0.1317601805559393,-0.1317601805559393
2013-03-15,0.9714707681148055,-0.3479895288769452,0.1337181985962336,0.28032489826198365,1.8301671518713416,-2.693696723528946,-0.18043901497323084,-0.11760757225933796,0.1127743843582693,0.36410015521384087,-0.11760757225933796,-0.11760757225933796,-0.11760757225933796
2013-03-18,0.9331111773167154,-0.26900502409130533,0.2409836674151277,0.5870474223659216,1.7709497419344267,-2.090393208042852,-0.032224560177604285,0.02241708534094211,-1.7079016894130272,0.4777641313288287,0.02241708534094211,0.02241708534094211,0.02241708534094211
2013-03-19,0.8402950403871828,-0.6573275719157802,0.0033882864531741123,0.4218416634201785,1.8533926898862463,1.1486291076260282,-0.326969642731303,-0.2608980568944076,-2.353164941729429,0.11350759618133316,-0.2608980568944076,-0.2608980568944076,-0.2608980568944076
2013-03-20,0.8581036019295862,-0.7321764486065861,-0.07735525132698577,0.32021476130705734,1.933881283174644,1.1855142005693864,0.08635004799291432,-0.3112199646411288,-2.2522970851485153,-0.07735525132698577,-0.3112199646411288,-0.3112199646411288,-0.3112199646411288
2013-03-21,0.8033679688245895,-0.6465282352145829,-0.1254717868880053,0.05576523861689125,2.1173364037350897,1.1658420198343826,0.14638375136933954,-0.2840541842047898,-2.164388323818091,-0.21609029964045356,-0.2840541842047898,-0.2840541842047898,-0.2840541842047898
2013-03-22,0.7103766869513638,-0.6320394081898099,-0.19228241150563233,0.06231374446941786,2.0990829922698193,1.1964238938128233,0.15489416482398155,-0.284862831860196,-2.205906554217393,-0.053411780973786765,-0.284862831860196,-0.284862831860196,-0.284862831860196
