date,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA,PLTR,AVGO,MU,GEV,VRT,BE
2013-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-19,-1.8127973913679871,-0.08995508722309736,1.1686988598583592,-0.08003825587956878,-0.2878901585487675,-0.42027172553978587,0.2775462409151531,-0.49239776297821586,0.9509520223423483,2.2633465473562095,-0.49239776297821586,-0.49239776297821586,-0.49239776297821586
2013-02-20,-1.7269002632715742,0.007655280352246768,1.1478909268087705,-0.027415453836219284,-0.20192399923747714,-0.6966057546095941,0.6905617098175426,-0.5597143303247742,0.8881720606981132,2.1574228145772882,-0.5597143303247742,-0.5597143303247742,-0.5597143303247742
2013-02-21,-1.9813473645427357,0.04788649744084972,1.1635263410852175,0.033864122730838817,-0.18260514927487906,-0.8192039811578039,0.7334088601997157,-0.4382677423413301,0.7063243895082235,2.0512172533758943,-0.4382677423413301,-0.4382677423413301,-0.4382677423413301
2013-02-22,-1.9953048192048262,-0.09158976063609822,1.611257618118398,0.268248122650372,-0.3795442592252826,-0.7830688925344278,-0.18468593386809465,-0.23126808590134273,0.4454127045933531,2.034347563711977,-0.23126808590134273,-0.23126808590134273,-0.23126808590134273
2013-02-25,-1.8929132937715338,0.04233950428400106,1.4805323055752744,0.10637900927244785,-0.5318161271919298,-0.537223486472372,-0.026410010683470243,-0.339500487998201,0.49621644238821516,2.2208976085921712,-0.339500487998201,-0.339500487998201,-0.339500487998201
2013-02-26,-1.9191621691759784,-0.13782039231665613,1.496203678340673,0.050389985076351604,-0.3060120816836789,-0.6470753039447829,-0.32059450358803127,-0.1580341613332565,0.10751331384279704,2.3086941187823324,-0.1580341613332565,-0.1580341613332565,-0.1580341613332565
2013-02-27,-1.8667072914761982,-0.17959625575998533,1.4807766705249594,-0.010646805818696108,-0.3078942908729558,-0.500491551631136,-0.3526597040993556,-0.2003375366125267,0.16520840775247286,2.373360967831002,-0.2003375366125267,-0.2003375366125267,-0.2003375366125267
2013-02-28,-1.893468465780272,0.09496594377647197,1.4257944564967635,0.039629131638796285,-0.5652595122403806,-0.279474033624094,-0.2566382009593077,-0.2957639775402959,0.276223532585551,2.341283058267656,-0.2957639775402959,-0.2957639775402959,-0.2957639775402959
2013-03-01,-1.8794709189914713,0.037495817680590744,1.3233319732679016,0.03292678424369941,-0.45388671195348507,-0.23889903619770714,-0.35060662048350355,-0.32187303122091676,0.42167703222444364,2.3949238050931982,-0.32187303122091676,-0.32187303122091676,-0.32187303122091676
2013-03-04,-2.0668220540768827,0.16722882924211854,1.4429859303141184,0.10257015882963985,-0.27877390436278054,-0.17502769131614307,-0.38522687116465953,-0.3119536793615904,0.22480116978560394,2.216079150195347,-0.3119536793615904,-0.3119536793615904,-0.3119536793615904
2013-03-05,-2.0968772409749348,0.23685282354986428,1.4949359234567843,0.2862150873707182,-0.324313467085952,-0.27061018592645386,-0.1974197485909581,-0.3379584027223649,0.09048889305302009,2.132561526037371,-0.3379584027223649,-0.3379584027223649,-0.3379584027223649
2013-03-06,-1.9014205114924563,0.2411411836719128,1.5428452135593098,0.2358050895897538,-0.47533493204809957,-0.2303077792002891,-0.0882752905583505,-0.4352290203746071,0.22681576539150447,2.189647342585142,-0.4352290203746071,-0.4352290203746071,-0.4352290203746071
2013-03-07,-2.006697208754534,0.08497203046027048,1.464253318109126,0.20279899734213727,-0.4832530874297969,-0.22297418457950482,0.13063240395885492,-0.42390443903301617,0.3764788822850065,2.1494066047405056,-0.42390443903301617,-0.42390443903301617,-0.42390443903301617
2013-03-08,-1.928834912700654,0.051693962055404635,1.3769167570195793,0.13611503682464018,-0.24210055601676947,-0.3085235231294054,0.1621331171067843,-0.47503082127604984,0.38792627264169893,2.264797131302921,-0.47503082127604984,-0.47503082127604984,-0.47503082127604984
2013-03-11,-1.8439274642433734,-0.052181872673652444,1.2890398822199018,0.12749647142524517,-0.39151391214792863,-0.25382432595891624,0.18465207252271215,-0.4680994061416684,0.4483263532604482,2.364330420162237,-0.4680994061416684,-0.4680994061416684,-0.4680994061416684
2013-03-12,-1.722661195042857,-0.14177390262140327,1.3019660047193622,0.025347332589537662,-0.3516300853364525,-0.3701829034042684,0.2760538373395031,-0.46890800233372804,0.4256009259412725,2.4329119951502176,-0.46890800233372804,-0.46890800233372804,-0.46890800233372804
2013-03-13,-1.8305795004730672,-0.1060741165376484,1.190032726342184,0.12068126410563865,-0.41160284854717816,-0.3199011810245074,0.2890359288330723,-0.45641807264578016,0.490334653266578,2.4037453646180484,-0.45641807264578016,-0.45641807264578016,-0.45641807264578016
